district,mandal,date,temp_min,temp_max
Adilabad,Narnoor,2020-08-23,23.7,29.1
Adilabad,Narnoor,2020-08-24,22.6,30.0
Adilabad,Narnoor,2020-08-25,23.7,30.4
Adilabad,Narnoor,2020-08-26,24.3,31.5
Adilabad,Narnoor,2020-08-27,24.1,29.9
Adilabad,Narnoor,2020-08-28,23.6,24.9
Adilabad,Narnoor,2020-08-29,23.4,26.1
Adilabad,Narnoor,2020-08-30,23.0,28.7
Adilabad,Narnoor,2020-08-31,23.5,30.5
Adilabad,Inderavelly,2020-07-01,24.6,33.8
Adilabad,Inderavelly,2020-07-02,24.1,29.9
Adilabad,Inderavelly,2020-07-03,24.5,34.6
Adilabad,Inderavelly,2020-07-04,23.7,32.2
Adilabad,Inderavelly,2020-07-05,25.2,29.4
Adilabad,Inderavelly,2020-07-06,22.7,31.9
Adilabad,Inderavelly,2020-07-07,24.8,29.1
Adilabad,Inderavelly,2020-07-08,23.4,32.2
Adilabad,Inderavelly,2020-07-09,24.7,35.4
Adilabad,Inderavelly,2020-07-10,24.2,32.4
Adilabad,Inderavelly,2020-07-11,24.9,31.0
Adilabad,Inderavelly,2020-07-12,25.7,34.5
Adilabad,Inderavelly,2020-07-13,24.9,33.9
Adilabad,Inderavelly,2020-07-14,25.5,32.6
Adilabad,Inderavelly,2020-07-15,24.9,32.6
Adilabad,Inderavelly,2020-07-16,24.7,29.8
Adilabad,Inderavelly,2020-07-17,24.9,30.1
Adilabad,Inderavelly,2020-07-18,24.9,33.1
Adilabad,Inderavelly,2020-07-19,27.0,35.7
Adilabad,Inderavelly,2020-07-20,24.9,33.2
Adilabad,Inderavelly,2020-07-21,24.9,32.7
Adilabad,Inderavelly,2020-07-22,25.8,33.8
Adilabad,Inderavelly,2020-07-23,22.6,32.6
Adilabad,Inderavelly,2020-07-24,24.0,27.5
Adilabad,Inderavelly,2020-07-25,24.9,32.6
Adilabad,Inderavelly,2020-07-26,23.9,32.7
Adilabad,Inderavelly,2020-07-27,24.9,36.0
Adilabad,Inderavelly,2020-07-28,26.1,37.8
Adilabad,Inderavelly,2020-07-29,24.2,32.6
Adilabad,Inderavelly,2020-07-30,24.9,32.8
Adilabad,Inderavelly,2020-07-31,26.0,34.8
Adilabad,Inderavelly,2020-08-01,26.3,36.0
Adilabad,Inderavelly,2020-08-02,24.9,34.9
Adilabad,Inderavelly,2020-08-03,25.9,35.1
Adilabad,Inderavelly,2020-08-04,24.9,30.1
Adilabad,Inderavelly,2020-08-05,24.9,32.1
Adilabad,Inderavelly,2020-08-06,24.9,30.1
Adilabad,Inderavelly,2020-08-07,24.9,31.6
Adilabad,Inderavelly,2020-08-08,26.6,34.2
Adilabad,Inderavelly,2020-08-09,26.3,30.2
Adilabad,Inderavelly,2020-08-10,23.7,27.8
Adilabad,Inderavelly,2020-08-11,23.7,25.7
Adilabad,Inderavelly,2020-08-12,24.6,28.2
Adilabad,Inderavelly,2020-08-13,23.1,29.7
Adilabad,Inderavelly,2020-08-14,24.9,27.9
Adilabad,Inderavelly,2020-08-15,23.3,29.6
Adilabad,Inderavelly,2020-08-16,24.8,27.6
Adilabad,Inderavelly,2020-08-17,23.9,25.6
Adilabad,Inderavelly,2020-08-18,24.9,25.6
Adilabad,Inderavelly,2020-08-19,23.3,24.9
Adilabad,Inderavelly,2020-08-20,23.8,29.8
Adilabad,Inderavelly,2020-08-21,24.4,27.8
Adilabad,Inderavelly,2020-08-22,24.1,28.0
Adilabad,Inderavelly,2020-08-23,23.6,30.8
Adilabad,Inderavelly,2020-08-24,22.8,31.7
Adilabad,Inderavelly,2020-08-25,23.2,30.7
Adilabad,Inderavelly,2020-08-26,25.0,33.5
Adilabad,Inderavelly,2020-08-27,24.5,31.0
Adilabad,Inderavelly,2020-08-28,24.1,26.9
Adilabad,Inderavelly,2020-08-29,23.5,28.1
Adilabad,Inderavelly,2020-08-30,23.4,28.5
Adilabad,Inderavelly,2020-08-31,23.6,33.3
Adilabad,Gudihathnur,2020-07-01,23.9,33.8
Adilabad,Gudihathnur,2020-07-02,24.2,32.8
Adilabad,Gudihathnur,2020-07-03,24.2,34.7
Adilabad,Gudihathnur,2020-07-04,23.5,34.1
Adilabad,Gudihathnur,2020-07-05,25.6,30.9
Adilabad,Gudihathnur,2020-07-06,22.3,31.9
Adilabad,Gudihathnur,2020-07-07,25.0,29.0
Adilabad,Gudihathnur,2020-07-08,22.9,32.4
Adilabad,Gudihathnur,2020-07-09,24.4,35.7
Adilabad,Gudihathnur,2020-07-10,23.6,34.0
Adilabad,Gudihathnur,2020-07-11,24.9,31.1
Adilabad,Gudihathnur,2020-07-12,25.2,33.8
Adilabad,Gudihathnur,2020-07-13,23.2,34.9
Adilabad,Gudihathnur,2020-07-14,25.0,31.2
Adilabad,Gudihathnur,2020-07-15,23.3,33.8
Adilabad,Gudihathnur,2020-07-16,23.5,25.7
Adilabad,Gudihathnur,2020-07-17,23.3,30.5
Adilabad,Gudihathnur,2020-07-18,23.9,33.6
Adilabad,Gudihathnur,2020-07-19,26.5,35.5
Adilabad,Gudihathnur,2020-07-20,24.9,35.4
Adilabad,Gudihathnur,2020-07-21,23.7,32.6
Adilabad,Gudihathnur,2020-07-22,25.3,32.8
Adilabad,Gudihathnur,2020-07-23,22.4,35.4
Adilabad,Gudihathnur,2020-07-24,23.0,27.5
Adilabad,Gudihathnur,2020-07-25,24.9,35.3
Adilabad,Gudihathnur,2020-07-26,23.9,35.2
Adilabad,Gudihathnur,2020-07-27,24.9,35.2
Adilabad,Gudihathnur,2020-07-28,26.1,37.8
Adilabad,Gudihathnur,2020-07-29,23.0,35.9
Adilabad,Gudihathnur,2020-07-30,24.9,35.1
Adilabad,Gudihathnur,2020-07-31,25.8,35.2
Adilabad,Gudihathnur,2020-08-01,24.9,37.2
Adilabad,Gudihathnur,2020-08-02,24.9,35.9
Adilabad,Gudihathnur,2020-08-03,24.9,35.2
Adilabad,Gudihathnur,2020-08-04,24.9,33.3
Adilabad,Gudihathnur,2020-08-05,24.7,32.6
Adilabad,Gudihathnur,2020-08-06,24.2,33.0
Adilabad,Gudihathnur,2020-08-07,24.3,31.2
Adilabad,Gudihathnur,2020-08-08,25.6,33.6
Adilabad,Gudihathnur,2020-08-09,25.1,31.5
Adilabad,Gudihathnur,2020-08-10,22.6,28.2
Adilabad,Gudihathnur,2020-08-11,22.4,24.8
Adilabad,Gudihathnur,2020-08-12,24.1,26.4
Adilabad,Gudihathnur,2020-08-13,22.6,28.5
Adilabad,Gudihathnur,2020-08-14,22.8,25.3
Adilabad,Gudihathnur,2020-08-15,22.1,28.2
Adilabad,Gudihathnur,2020-08-16,23.5,25.9
Adilabad,Gudihathnur,2020-08-17,22.6,23.9
Adilabad,Gudihathnur,2020-08-18,22.9,23.9
Adilabad,Gudihathnur,2020-08-19,23.0,24.2
Adilabad,Gudihathnur,2020-08-20,22.6,28.5
Adilabad,Gudihathnur,2020-08-21,23.0,26.1
Adilabad,Gudihathnur,2020-08-22,23.5,27.3
Adilabad,Gudihathnur,2020-08-23,23.1,31.5
Adilabad,Gudihathnur,2020-08-24,22.4,31.7
Adilabad,Gudihathnur,2020-08-25,23.4,32.7
Adilabad,Gudihathnur,2020-08-26,24.2,33.1
Adilabad,Gudihathnur,2020-08-27,23.5,31.0
Adilabad,Gudihathnur,2020-08-28,23.4,25.9
Adilabad,Gudihathnur,2020-08-29,23.8,26.6
Adilabad,Gudihathnur,2020-08-30,22.2,29.4
Adilabad,Gudihathnur,2020-08-31,22.3,32.8
Adilabad,Adilabad Rural,2020-07-01,25.2,35.7
Adilabad,Adilabad Rural,2020-07-02,26.4,35.2
Adilabad,Adilabad Rural,2020-07-03,26.3,35.9
Adilabad,Adilabad Rural,2020-07-04,25.6,35.3
Adilabad,Adilabad Rural,2020-07-05,26.2,33.1
Adilabad,Adilabad Rural,2020-07-06,24.0,32.6
Adilabad,Adilabad Rural,2020-07-07,26.6,30.7
Adilabad,Adilabad Rural,2020-07-08,24.2,33.4
Adilabad,Adilabad Rural,2020-07-09,26.8,36.1
Adilabad,Adilabad Rural,2020-07-10,24.8,34.9
Adilabad,Adilabad Rural,2020-07-11,26.5,32.6
Adilabad,Adilabad Rural,2020-07-12,27.1,35.2
Adilabad,Adilabad Rural,2020-07-13,24.8,35.2
Adilabad,Adilabad Rural,2020-07-14,26.8,35.2
Adilabad,Adilabad Rural,2020-07-15,24.9,32.9
Adilabad,Adilabad Rural,2020-07-16,25.1,27.5
